id;imie;nazwisko;dataUrodzenia;zawod
0;Joanna;W£ODARCZYK;01.05.1978;aktor
1;Ariana;CZARNECKA;01.09.1996;aktor
2;Zbigniew;KAMIÑSKA;01.05.1988;aktor
3;Anna;RUTKOWSKA;01.04.1991;aktor
4;Wioleta;ZAWADZKA;01.10.1993;aktor
5;Anna;WITKOWSKA;01.01.1980;aktor
6;Magdalena;KOWALSKA;01.08.1979;aktor
7;Dominika;B¥K;01.04.1996;aktor
8;Zbigniew;WILK;01.02.1982;aktor
9;Piotr;NOWAK;01.06.1990;aktor
10;Lucyna;BA£KA;01.11.1980;aktor
11;Julian;LIS;01.05.1998;aktor
12;Zbigniew;PACZOS;01.09.1971;aktor
13;Helena;MACIEJEWSKA;01.02.1972;aktor
14;Dorota;WRÓBLEWSKA;01.11.1980;aktor
15;Ariana;KWIATKOWSKA;01.09.1976;aktor
16;Marcjanna;BORKOWSKA;01.02.1977;aktor
17;Krystyna;KORYTKOWSKI;01.07.1982;aktor
18;Marzena;TOMASZEWSKA;01.01.1975;aktor
19;Jagna;PIETRZAK;01.09.1981;aktor
20;Aleksander;MARCINIAK;01.07.1982;aktor
21;Leon;GRABOWSKA;01.06.1980;aktor
22;Aneta;WIECZOREK;01.09.1996;aktor
23;Lilianna;WÓJCIK;01.06.1995;aktor
24;Lucyna;MAJEWSKA;01.10.1993;aktor
25;Helena;SZCZEPAÑSKA;01.06.1975;aktor
26;Piotr;WOJCIECHOWSKA;01.10.1978;aktor
27;Zbigniew;KUBIAK;01.07.1992;aktor
28;Pawe³;WITKOWSKA;01.04.1986;aktor
29;Pamela;BA£KA;01.04.1981;aktor
30;¯aneta;PAWLAK;01.12.1982;aktor
31;Marcjanna;MARCINIAK;01.11.1975;aktor
32;¯aneta;B¥K;01.12.1972;aktor
33;Józef;BA£KA;01.12.1982;aktor
34;Antoni;PAW£OWSKA;01.10.1983;aktor
35;Ariana;MARCINIAK;01.01.1990;aktor
36;Dominika;MICHALSKA;01.12.1977;aktor
37;Julia;SOKO£OWSKA;01.03.1989;aktor
38;Zuzanna;BA£KA;01.10.1973;aktor
39;Anna;KRAWCZYK;01.09.1991;aktor
40;Arkadiusz;LIS;01.09.1976;aktor
41;Arkadiusz;WRÓBLEWSKA;01.07.1992;aktor
42;Aleksander;PAW£OWSKA;01.11.1975;aktor
43;Aleksander;WRÓBLEWSKA;01.01.1970;aktor
44;Helena;NOWAK;01.06.1995;aktor
45;Albin;JAKUBOWSKA;01.02.1977;aktor
46;Lucyna;ZALEWSKA;01.01.1975;aktor
47;¯aneta;WOJCIECHOWSKA;01.05.1978;aktor
48;Odetta;WÓJCIK;01.07.1982;aktor
49;Lilianna;KOWALSKA;01.04.1986;aktor
50;Krzysztof;BARAN;01.05.1978;aktor
51;Aneta;PAPIERZEWSKI;01.08.1994;aktor
52;S³awomir;MACIEJEWSKA;01.07.1992;aktor
53;Marzena;WRÓBLEWSKA;01.06.1970;aktor
54;Izabela;KACZMAREK;01.10.1973;aktor
55;Zofia;KOWALSKA;01.08.1984;aktor
56;Sylwia;NOWAKOWSKA;01.07.1972;aktor
57;Maria;NOWAK;01.11.1970;aktor
58;Irena;PAWLUK;01.07.1997;aktor
59;Irena;NOWICKA;01.07.1982;aktor
60;Jozue;MAKOWSKA;01.11.1985;aktor
61;Jacek;JAWORSKA;01.02.1972;aktor
62;Julian;JAWORSKA;01.09.1991;aktor
63;Bernadetta;PAWLUK;01.02.1982;aktor
64;Jadwiga;WYSOCKA;01.01.1995;aktor
65;Natan;MAZUR;01.10.1978;aktor
66;Agnieszka;TOMASZEWSKA;01.06.1980;aktor
67;Arkadiusz;NOWAK;01.04.1981;aktor
68;Szymon;WITKOWSKA;01.05.1978;aktor
69;Julian;KWIATKOWSKA;01.02.1982;aktor
70;Irena;DUDEK;01.07.1987;aktor
71;Maria;WALCZAK;01.03.1994;aktor
72;Andrzej;ZAWADZKA;01.07.1977;aktor
73;Joanna;KWIATKOWSKA;01.01.1980;aktor
74;Gracjan;WÓJCIK;01.06.1995;aktor
75;Aneta;DUDEK;01.08.1979;aktor
76;Jan;ZALEWSKA;01.06.1985;aktor
77;Pamela;DUDEK;01.12.1977;aktor
