id;imie;nazwisko;dataUrodzenia;zawod
500;Maciej;BARAN;01.03.1984;rezyser
501;Hanna;JAWORSKA;01.06.1970;rezyser
502;Zuzanna;SAWICKA;01.03.1989;rezyser
503;Marcin;JANKOWSKA;01.01.1995;rezyser
504;Antonina;ADAMCZYK;01.07.1992;rezyser
505;Anna;PAW£OWSKA;01.10.1973;rezyser
506;S³awomir;WILK;01.04.1996;rezyser
507;Julia;NOWICKA;01.10.1973;rezyser
508;Jagna;PIETRZAK;01.01.1970;rezyser
509;Wincenty;KUBIAK;01.05.1978;rezyser
510;Wioleta;PACZOS;01.10.1983;rezyser
511;Arleta;BORKOWSKA;01.10.1983;rezyser
512;Wojciech;SIKORA;01.01.1985;rezyser
513;Jan;MICHALAK;01.11.1970;rezyser
514;Zofia;NOWAK;01.03.1984;rezyser
515;Krystyna;MICHALSKA;01.08.1974;rezyser
516;Odetta;KACZMAREK;01.01.1995;rezyser
517;Krystyna;KUCHARSKA;01.06.1975;rezyser
518;Lilianna;SZEKPSIR;01.08.1974;rezyser
519;Jagna;RUTKOWSKA;01.02.1972;rezyser
520;Sylwia;KUCHARSKA;01.11.1990;rezyser
521;Wincenty;CZARNECKA;01.10.1988;rezyser
522;Marzena;KORYTKOWSKI;01.03.1989;rezyser
523;Marika;MAZUR;01.09.1991;rezyser
524;Magdalena;LEWANDOWSKA;01.07.1977;rezyser
525;Nikola;SIKORA;01.12.1987;rezyser
526;Bernadetta;PAPIERZEWSKI;01.12.1987;rezyser
527;Kamila;SAWICKA;01.09.1991;rezyser
528;Natan;SADOWSKA;01.08.1994;rezyser
529;Zofia;KACZMAREK;01.05.1998;rezyser
530;Bo¿ena;KAMIÑSKA;01.05.1978;rezyser
531;Pamela;PAWLAK;01.07.1987;rezyser
532;Krzysztof;OLSZEWSKA;01.09.1976;rezyser
533;Jagna;WITKOWSKA;01.11.1985;rezyser
534;Jadwiga;MACIEJEWSKA;01.01.1975;rezyser
535;Wiliam;DUDEK;01.02.1992;rezyser
536;Pawe³;SOKO£OWSKA;01.11.1990;rezyser
537;Bernadetta;MAJEWSKA;01.05.1988;rezyser
538;Wioleta;TOMASZEWSKA;01.05.1988;rezyser
539;Jozue;W£ODARCZYK;01.10.1988;rezyser
540;Irena;MALINOWSKA;01.07.1982;rezyser
