id;imie;nazwisko;dataUrodzenia;zawod
0;Aneta;ZALEWSKA;01.04.1996;aktor
1;Anna;DUDEK;01.10.1993;aktor
2;Nikola;BA£KA;01.03.1984;aktor
3;Albin;MALINOWSKA;01.09.1991;aktor
4;Józef;OLSZEWSKA;01.04.1981;aktor
5;Joanna;LIS;01.04.1976;aktor
6;Pawe³;CHMIELEWSKA;01.09.1991;aktor
7;Pamela;PIETRZAK;01.03.1974;aktor
8;Mirella;SZEWCZYK;01.11.1970;aktor
9;Jan;RUTKOWSKA;01.07.1992;aktor
10;Magdalena;JASIÑSKA;01.04.1991;aktor
11;Marika;MICHALAK;01.10.1988;aktor
12;Bo¿ena;GRABOWSKA;01.03.1994;aktor
13;Anna;MARCINIAK;01.12.1997;aktor
14;Antonina;WIECZOREK;01.05.1973;aktor
15;Mirella;SAWICKA;01.11.1985;aktor
16;¯aneta;MICHALSKA;01.06.1990;aktor
17;Lilianna;SADOWSKA;01.01.1990;aktor
18;Sylwia;SZEWCZYK;01.07.1977;aktor
19;Kamila;ZALEWSKA;01.09.1996;aktor
20;S³awomir;PACZOS;01.04.1976;aktor
21;Wiliam;KOWALCZYK;01.04.1981;aktor
22;Jozue;SIKORA;01.09.1996;aktor
23;Krystyna;JAKUBOWSKA;01.03.1974;aktor
24;Albin;MARCINIAK;01.08.1984;aktor
25;Zuzanna;KOWALCZYK;01.11.1980;aktor
26;Krystyna;MAJEWSKA;01.06.1990;aktor
27;Zuzanna;ZAWADZKA;01.04.1996;aktor
28;S³awomir;KOWALCZYK;01.06.1980;aktor
29;Arleta;NOWAK;01.07.1992;aktor
30;Lilianna;JANKOWSKA;01.04.1991;aktor
31;Zuzanna;PACZOS;01.11.1980;aktor
32;S³awomir;JANKOWSKA;01.06.1980;aktor
33;¯aneta;PAW£OWSKA;01.10.1978;aktor
34;Gracjan;CZARNECKA;01.11.1995;aktor
35;Andrzej;WRÓBLEWSKA;01.12.1982;aktor
36;Antonina;DUDEK;01.11.1970;aktor
37;Bo¿ena;DUDA;01.03.1984;aktor
38;Julia;ADAMCZYK;01.10.1988;aktor
39;Jan;DUDEK;01.03.1989;aktor
40;Jacek;WRÓBLEWSKA;01.04.1981;aktor
41;Jozue;KAMIÑSKA;01.05.1973;aktor
42;Hanna;KACZMAREK;01.05.1973;aktor
43;Zofia;WIECZOREK;01.09.1981;aktor
44;Martyna;SIKORA;01.05.1983;aktor
45;Krzysztof;LIS;01.08.1979;aktor
46;Irena;W£ODARCZYK;01.08.1974;aktor
47;Agnieszka;M¥CZKA;01.07.1987;aktor
48;Kamila;KRAWCZYK;01.04.1981;aktor
49;Maria;PAWLUK;01.03.1979;aktor
50;Agnieszka;M¥CZKA;01.06.1985;aktor
51;Jacek;WRÓBLEWSKA;01.08.1989;aktor
52;Wioleta;WIECZOREK;01.03.1984;aktor
53;Leon;WRÓBLEWSKA;01.11.1995;aktor
54;Irena;PAWLUK;01.12.1997;aktor
55;Jozue;PACZOS;01.01.1995;aktor
56;Petronella;B¥K;01.05.1983;aktor
57;Leon;DUDA;01.09.1976;aktor
58;Lucyna;W£ODARCZYK;01.08.1974;aktor
59;Natan;SAWICKA;01.10.1973;aktor
60;Maria;W£ODARCZYK;01.02.1992;aktor
61;Marcin;TOMASZEWSKA;01.02.1972;aktor
62;Ariana;WYSOCKA;01.09.1976;aktor
63;Jadwiga;LIS;01.01.1990;aktor
64;Katarzyna;DUDA;01.12.1972;aktor
65;Zuzanna;OLSZEWSKA;01.11.1995;aktor
66;Natan;W£ODARCZYK;01.07.1977;aktor
67;Antonina;WOJCIECHOWSKA;01.01.1970;aktor
68;Maria;RUTKOWSKA;01.01.1985;aktor
69;Marzena;M¥CZKA;01.07.1987;aktor
70;¯aneta;MALINOWSKA;01.07.1972;aktor
71;Jan;BARAN;01.05.1998;aktor
72;Józef;PIETRZAK;01.04.1991;aktor
73;Zofia;NOWAKOWSKA;01.12.1997;aktor
74;Hanna;MICHALSKA;01.06.1985;aktor
75;Wincenty;ADAMCZYK;01.12.1997;aktor
76;Dorota;PACZOS;01.03.1984;aktor
77;Arleta;WILK;01.12.1972;aktor
78;Zbigniew;KWIATKOWSKA;01.10.1978;aktor
79;Lilianna;MARCINIAK;01.09.1996;aktor
80;Pawe³;WÓJCIK;01.04.1986;aktor
81;Dominika;JAKUBOWSKA;01.07.1982;aktor
82;Zbigniew;PAPIERZEWSKI;01.04.1991;aktor
83;¯aneta;WRÓBLEWSKA;01.09.1991;aktor
84;Julian;LIS;01.01.1990;aktor
85;Sylwia;SZEKPSIR;01.03.1974;aktor
86;Jagna;WALCZAK;01.07.1972;aktor
87;Wincenty;LEWANDOWSKA;01.08.1984;aktor
88;Adrianna;ZAWADZKA;01.04.1971;aktor
89;Nikola;BA£KA;01.12.1997;aktor
90;Arkadiusz;WALCZAK;01.03.1979;aktor
91;Mirella;MICHALSKA;01.09.1991;aktor
92;Pamela;KUCHARSKA;01.02.1987;aktor
93;Helena;SOKO£OWSKA;01.10.1988;aktor
94;Nikola;PAPIERZEWSKI;01.04.1991;aktor
95;Zuzanna;GRABOWSKA;01.05.1978;aktor
96;Marika;GRABOWSKA;01.07.1997;aktor
97;S³awomir;MICHALAK;01.11.1995;aktor
98;Albin;PAWLUK;01.04.1986;aktor
99;Gracjan;LIS;01.08.1974;aktor
100;S³awomir;TOMASZEWSKA;01.02.1997;aktor
101;Piotr;PAPIERZEWSKI;01.11.1970;aktor
102;Marcjanna;KUCHARSKA;01.01.1975;aktor
103;Wioleta;KWIATKOWSKA;01.03.1974;aktor
104;Natan;ADAMCZYK;01.04.1976;aktor
105;Hanna;MAKOWSKA;01.03.1989;aktor
106;Józef;KORYTKOWSKI;01.06.1985;aktor
107;Dorota;PIOTROWSKA;01.01.1980;aktor
108;Jadwiga;PAWLUK;01.05.1998;aktor
109;Krzysztof;GRABOWSKA;01.01.1975;aktor
110;Jagoda;WYSOCKA;01.03.1984;aktor
111;Maria;PAPIERZEWSKI;01.03.1994;aktor
