id;imie;nazwisko;dataUrodzenia;zawod
500;Lucyna;DUDEK;01.12.1972;rezyser
501;Zbigniew;WILK;01.02.1997;rezyser
502;Marika;MARCINIAK;01.03.1994;rezyser
503;Maciej;MAZUR;01.09.1976;rezyser
504;Maksymilian;JASIÑSKA;01.09.1981;rezyser
505;Antonina;NOWICKA;01.02.1992;rezyser
506;Bogumi³a;B¥K;01.12.1982;rezyser
507;Szymon;LEWANDOWSKA;01.08.1984;rezyser
508;Izabela;MARCINIAK;01.03.1994;rezyser
509;Marcin;KUCHARSKA;01.08.1974;rezyser
510;Kamila;MARCINIAK;01.01.1980;rezyser
511;Aneta;WYSOCKA;01.06.1980;rezyser
512;Bernadetta;TOMASZEWSKA;01.08.1994;rezyser
513;Józef;WOJCIECHOWSKA;01.01.1975;rezyser
514;S³awomir;MARCINIAK;01.11.1980;rezyser
515;Stanis³aw;DUDA;01.12.1997;rezyser
516;Julia;PAW£OWSKA;01.04.1976;rezyser
517;Andrzej;PIOTROWSKA;01.11.1985;rezyser
518;Jagoda;MALINOWSKA;01.09.1986;rezyser
519;Odetta;PAWLUK;01.07.1992;rezyser
520;Helena;PAW£OWSKA;01.10.1973;rezyser
521;Sylwia;PAWLAK;01.02.1992;rezyser
522;Izabela;JAWORSKA;01.05.1973;rezyser
523;Jacek;OLSZEWSKA;01.08.1984;rezyser
524;Krystyna;GRABOWSKA;01.02.1992;rezyser
525;Wiliam;MICHALAK;01.01.1980;rezyser
526;Bernadetta;KWIATKOWSKA;01.08.1979;rezyser
527;Magdalena;M¥CZKA;01.06.1975;rezyser
528;Kamila;WYSOCKA;01.07.1977;rezyser
529;Wincenty;JAKUBOWSKA;01.09.1971;rezyser
530;Jacek;DUDA;01.11.1990;rezyser
531;Marika;WALCZAK;01.01.1985;rezyser
532;Jozue;KOWALCZYK;01.05.1983;rezyser
533;Antoni;KAMIÑSKA;01.10.1988;rezyser
534;Aleksander;ZALEWSKA;01.02.1997;rezyser
535;Jagoda;OSTROWSKA;01.11.1990;rezyser
536;S³awomir;W£ODARCZYK;01.08.1984;rezyser
537;Arkadiusz;PIOTROWSKA;01.06.1990;rezyser
538;Andrzej;PAWLUK;01.04.1981;rezyser
539;Piotr;ZAWADZKA;01.06.1990;rezyser
540;Ariana;OSTROWSKA;01.10.1978;rezyser
541;Wioleta;GRABOWSKA;01.07.1977;rezyser
542;Szymon;KACZMAREK;01.08.1989;rezyser
543;Pawe³;OLSZEWSKA;01.11.1990;rezyser
544;S³awomir;SZEWCZYK;01.04.1986;rezyser
545;Julia;KUCHARSKA;01.11.1980;rezyser
546;Maria;JANKOWSKA;01.08.1979;rezyser
547;Pamela;WITKOWSKA;01.05.1983;rezyser
548;Krzysztof;KRAWCZYK;01.03.1974;rezyser
549;Sylwia;PAWLUK;01.10.1983;rezyser
550;Nikola;KALINOWSKA;01.02.1972;rezyser
551;Kamila;PAWLUK;01.12.1982;rezyser
552;Krzysztof;LIS;01.04.1981;rezyser
553;Bogumi³a;GRABOWSKA;01.12.1982;rezyser
554;Wincenty;M¥CZKA;01.06.1975;rezyser
555;Anna;OSTROWSKA;01.11.1995;rezyser
